cust_id	Inv_1M_Bef	satis_survey	cust_age	cust_tenure	tottrans	months_since_survey	Inv_3M_Aft	Inv_Chg	categ
1083	19653	4	26.784394251	2.9377138946	89	3	20872	1219	good
1543	15677	1	38.803559206	4.3641341547	64	3	14423	-1254	bad
2243	3174	4	37.697467488	6.5297741273	133	3	1045	-2129	good
4199	3658	5	52.375085558	4.9883641342	135	3	2561	-1097	good
4446	1528	4	19.041752225	3.3675564682	131	3	307	-1221	good
5793	4737	1	68.676249144	1.5852156057	46	3	3990	-747	bad
7013	3763	5	44.238193018	0.4599589322	102	3	4191	428	good
7376	1934	4	28.109514031	0.2436687201	4	3	11476	9542	good
8752	25976	4	27.066392882	1.0841889117	11	3	55603	29627	good
9321	1117	2	41.363449692	3.0718685832	21	3	7040	5923	bad
10191	3207	4	24.919917864	2.3709787817	25	3	2413	-794	good
10197	41679	5	40.936344969	1.5523613963	29	3	53394	11715	good
10343	12211	4	42.119096509	3.2251882272	43	3	72371	60160	good
10624	70365	2	72.197125257	0.3805612594	42	3	38576	-31789	bad
12088	44846	1	26.124572211	3.1457905544	26	3	33842	-11004	bad
12419	5021	5	48.876112252	1.7467488022	41	3	1002	-4019	good
18015	23686	1	70.264202601	1.1143052704	33	3	5768	-17918	bad
19709	8600	5	23.61670089	0.6406570842	45	3	23022	14422	good
19936	11727	2	31.383983573	4.2299794661	45	3	9156	-2571	bad
20196	337	4	42.223134839	1.7193702943	45	3	3437	3100	good
20559	45370	1	34.058863792	0.8898015058	52	3	41004	-4366	bad
23898	2959	2	51.312799452	2.8473648186	34	3	25702	22743	bad
24695	9199	1	56.906228611	2.0506502396	78	3	8743	-456	bad
25074	70569	4	66.269678303	4.4188911704	55	3	58148	-12421	good
25420	12200	2	22.360027379	4.3394934976	101	3	16342	4142	bad
27890	2893	2	34.962354552	1.5249828884	27	3	919	-1974	bad
28944	2198	5	18.146475017	0.3696098563	89	3	5483	3285	good
29039	2793	4	39.186858316	3.1293634497	137	3	24032	21239	good
29673	19453	4	31.121149897	2.4941820671	54	3	19100	-353	good
30053	665	5	26.072553046	2.0177960301	85	3	6350	5685	good
30841	563	4	20.268309377	3.5290896646	49	3	5171	4608	good
31739	4662	5	21.169062286	3.06091718	108	3	2946	-1716	good
35801	685	5	35.942505133	2.4531143053	77	3	1249	564	good
35964	14154	2	49.212867899	2.2176591376	64	3	11929	-2225	bad
37201	4305	5	32.933607118	2.4065708419	75	3	1167	-3138	good
38820	3686	4	31.490759754	5.3880903491	75	3	1573	-2113	good
41737	1231	5	18.776180698	0.4024640657	32	3	3104	1873	good
44041	20038	4	57.993155373	1.7385352498	22	3	23178	3140	good
45937	17184	1	37.155373032	1.144421629	38	3	20346	3162	bad
48243	3106	2	20.257357974	2.9349760438	58	3	4713	1607	bad
50662	35	1	49.374401095	1.1526351814	68	3	1135	1100	bad
52424	1501	1	38.603696099	0.2847364819	83	3	1336	-165	bad
52678	4329	1	18.88843258	2.8829568789	32	3	4764	435	bad
54568	774	1	20.588637919	1.916495551	38	3	20226	19452	bad
54760	22686	4	69.040383299	1.8151950719	5	3	101462	78776	good
55155	18260	1	56.621492129	0.7665982204	76	3	20319	2059	bad
55945	9530	5	27.504449008	4.8678986995	50	3	14964	5434	good
56630	1394	1	33.943874059	0.4900752909	52	3	1446	52	bad
61308	26553	5	53.905544148	1.2128678987	17	3	4738	-21815	good
61999	160783	1	47.044490075	1.9192334018	3	3	42688	-118095	bad
63813	2441	5	76.167008898	1.6290212183	18	3	1360	-1081	good
66312	107198	1	50.368240931	0.9418206708	47	3	105479	-1719	bad
66982	9672	1	28.971937029	9.9137577002	93	3	13554	3882	bad
69295	21570	1	29.264887064	0.4873374401	8	3	23096	1526	bad
70789	7374	5	38.978781656	0.7091033539	39	3	17686	10312	good
70932	34368	5	25.013004791	2.726899384	61	3	60141	25773	good
73711	18925	5	57.968514716	0.7775496235	42	3	18002	-923	good
73996	682	1	23.739904175	1.3333333333	132	3	4205	3523	bad
74032	4183	2	18.973305955	0.9828884326	48	3	10012	5829	bad
74222	773	2	38.891170431	3.1457905544	88	3	987	214	bad
76283	5909	2	22.633812457	4.5393566051	67	3	14412	8503	bad
